16 objects imported automatically (use -v 2 for details).
Company: ОБЩИНА ВАРНА % 2 - ОБЩИНСКА ПОЛИЦИЯ
Total Profit: -319.26
Prices for this company:
Date: 2026-07-14, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-14, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-14, Product: DIЕSЕL ЕКОNОМY, Final: 1.4690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-14, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-14, Product: DIЕSЕL ЕКОNОМY, Final: 1.4690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-14, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-14, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-15, Product: DIЕSЕL ЕКОNОМY, Final: 1.4890, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-15, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-15, Product: DIЕSЕL ЕКОNОМY, Final: 1.4890, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-15, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-15, Product: DIЕSЕL ЕКОNОМY, Final: 1.4890, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3690, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: ЕКО RАСING 100, Final: 1.6290, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-15, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-15, Product: DIЕSЕL ЕКОNОМY, Final: 1.4890, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-15, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
